compound_id,base_rdkit_smiles,relation,activity_value
gvk_125380576,CC(C)(C)OC(=O)N1CC[N+](C)(CC(=O)OC2CCCCCCCCCCC2)CC1,,7.253365801062421
gvk_123426010,O=c1[nH]c2cc(CN3C4CCC3CN(c3ccc(Cl)nn3)C4)ccc2c2c1CCCN2,,8.31695296176115
gvk_15339061,CCc1cc2ccc(C(C)(C#N)Cc3cc(F)cc4c3OCOC4)cc2[nH]c1=O,,6.6
gvk_121258697,CCNC(=O)c1ccc(N2CCN(Cc3cc(Cl)c4c(c3)NC(=O)C(C)O4)CC2)cc1,,8.3
gvk_15065279,O=C(Nc1cccc(F)c1)N1CCN(C(=O)c2ccc(Cc3n[nH]c(=O)c4ccccc34)s2)CC1,>,6.0
gvk_15065969,CC(C)OC1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccn2)CC1,,8.154901959985743
gvk_15323537,O=C1CCn2c(-c3ccc4c(c3)OCO4)nc3cccc1c32,>,5.0
CHEMBL4453320,C[C@@H]1NC(=O)[C@H](C)NC1=O,,3.045757490560675
CHEMBL84979,Oc1nc2c(c3ccccc13)CNCC2,,7.455931955649724
gvk_15347446,COc1ccc2c(c1)c(=O)[nH]c1cccnc12,,5.381951903287908
CHEMBL107659,CN1C[C@H]2C[C@@H]1CN2c1ccc2nc(O)c3ccccc3c2n1,,7.292429823902063
gvk_122350220,Cc1cccc2c(=O)[nH]c(-c3ccc(N)cc3)nc12,,6.317228750207587
gvk_121814034,CCc1cc2ccc(CN3CCc4ccccc4C3)cc2[nH]c1=O,,7.699
gvk_123791773,O=C1NC(CCCN2CC=C(c3ccc(F)cc3)CC2)Oc2ccccc21,,7.730954290342377
gvk_123465509,CNC(=O)c1ccc(N2CCN([C@H]3C=C(c4cc5sccc5c(=O)[nH]4)CC3)CC2)cc1,,9.30102999566398
gvk_123851559,Cc1cc(F)ccc1C(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,,8.537602002101044
gvk_125398437,CC(c1nc2cccc(C(N)=O)c2[nH]1)N1CC(=O)N(c2ccc(F)cc2)C1=S,,7.431798275933005
